fold,accuracy,balanced_acc,precision,recall,f1,roc_auc
1,0.8104419041119263,0.7360551469259147,0.605972323379461,0.5934379457917262,0.5996396396396396,0.7360551469259147
2,0.813683671728374,0.7504107002491235,0.6066024759284732,0.6291012838801712,0.6176470588235294,0.7504107002491236
3,0.8114656202013308,0.7422322447539993,0.6055240793201133,0.609408410548824,0.6074600355239786,0.7422322447539992
4,0.8143661491213103,0.7490233547480611,0.6097560975609756,0.6236635780470421,0.616631430584919,0.7493349666979718
5,0.813481228668942,0.755418139439332,0.6032064128256514,0.6440798858773181,0.6229734391169369,0.7553782201802336
