fold,accuracy,balanced_acc,precision,recall,f1,roc_auc
1,0.852,0.7420372885269877,0.7791411042944786,0.5313807531380753,0.6318407960199005,0.9037711885374343
2,0.849,0.7486763177717053,0.7471910112359551,0.5564853556485355,0.6378896882494005,0.9053931459926654
3,0.849,0.7572864376865938,0.7315789473684211,0.5815899581589958,0.6480186480186481,0.9010770897134909
4,0.844,0.7597413665129014,0.7044334975369458,0.5983263598326359,0.6470588235294118,0.9087800130856228
5,0.836,0.7182017543859649,0.7375,0.49166666666666664,0.59,0.8874451754385965
