kernel,cv_acc,cv_acc_std,cv_bal_acc,cv_f1,val_acc,val_f1,val_auc
linear,0.846,0.0063,0.7452,0.631,0.8497,0.6346,0.901
rbf,0.8548,0.0089,0.7527,0.6466,0.8595,0.6507,0.8947
