model,grid,grid_std,params
tree,0.6564,0.0155,"{'model__max_depth': 12, 'model__min_samples_leaf': 25}"
svm,0.6463,0.0272,"{'model__C': 1.0, 'model__gamma': 0.1, 'model__kernel': 'rbf'}"
