fold,accuracy,balanced_acc,precision,recall,f1,roc_auc
1,0.8488312574645965,0.7593290141690386,0.7279151943462897,0.5877318116975749,0.6503551696921863,0.8967956262782895
2,0.8568503668315987,0.7704672689097272,0.7484554280670785,0.6048502139800286,0.6690335305719921,0.8993952348853511
3,0.8432008189728715,0.7533247668026631,0.7111692844677138,0.5808980755523877,0.639466457434288,0.889275352725861
4,0.8532673605186828,0.7692224922113001,0.7334479793637145,0.6079828937990022,0.6648480124707716,0.9035214868350746
5,0.8580204778156997,0.7749123376270136,0.7465397923875432,0.615549215406562,0.674745895230649,0.9088640914824619
