fold,accuracy,balanced_acc,precision,recall,f1,roc_auc
1,0.854,0.7433513489737682,0.7888198757763976,0.5313807531380753,0.635,0.9035457639419614
2,0.849,0.7501113377575201,0.7444444444444445,0.5606694560669456,0.639618138424821,0.9061189032268706
3,0.848,0.7566294074632036,0.7277486910994765,0.5815899581589958,0.6465116279069767,0.9012145437351206
4,0.844,0.7583063465270867,0.7064676616915423,0.5941422594142259,0.6454545454545455,0.9087360277987013
5,0.836,0.7167763157894737,0.740506329113924,0.4875,0.5879396984924623,0.8877850877192982
